Title,Date,Author,Location,Format,Paid,Cost,Ownership,Sold,Notes
100 Animals That Can Fucking End You,2023-02-24,"Ndiaye, Mamadou",Amazon,Digital,Myself,2.99,Owned,,
Neon Genesis Evangelion 01,2023-02-18,"Sadamoto, Yoshiyuki",Librería Dorian,Physical,Myself,9.95,Sold,2025-04-16,
El Club de la Lucha,2023-02-04,"Palahniuk, Chuck",Librería Dorian,Physical,Myself,4.95,Owned,,
Beck 01,2023-01-20,"Sakuishi, Harold",fnac,Physical,Myself,7.58,Sold,2025-12-21,
Beck 02,2023-01-20,"Sakuishi, Harold",fnac,Physical,Myself,7.58,Sold,2025-12-21,
Cool Shock B.T.,2022-12-23,"Araki, Hirohiko",Comic Stores,Physical,Dad,9.00,Owned,,
The Legend of Zelda: Twilight Princess 08,2022-12-23,"Himekawa, Akira",fnac,Physical,Dad,8.55,Owned,,
Jigokuraku 13 + Cofre,2022-12-10,"Kaku, Yuji",Librería Dorian,Physical,Mom,8.00,Owned,,
The Legend of Zelda: Twilight Princess 10,2022-12-10,"Himekawa, Akira",Librería Dorian,Physical,Myself,9.00,Owned,,
Abara (Master Edition) + Calendario,2022-11-26,"Nihei, Tsutomu",Comic Stores,Physical,Grandma,19.00,Owned,,
The Legend of Zelda: Twilight Princess 06,2022-11-26,"Himekawa, Akira",Comic Stores,Physical,Myself,8.55,Owned,,
The Legend of Zelda: Twilight Princess 07,2022-11-26,"Himekawa, Akira",Comic Stores,Physical,Myself,8.55,Owned,,
Dragon Ball Ultimate Edition 01,2022-10-01,"Toriyama, Akira",fnac,Physical,Dad,11.35,Sold,,
The Legend of Zelda: Twilight Princess 05,2022-10-01,"Himekawa, Akira",Comic Stores,Physical,Dad,7.60,Owned,,
My Hero Academia 31,2022-09-24,"Horikoshi, Kohei",El Corte Inglés,Physical,Mom,7.95,Sold,,
The Legend of Zelda: Twilight Princess 04,2022-08-31,"Himekawa, Akira",Librería Dorian,Physical,Myself,6.00,Owned,,
Hunter x Hunter (Promo),2022-08-25,Yoshihiro Togashi,Librería Dorian,Physical,Myself,1.95,Returned,,
Jigokuraku 1,2022-08-25,"Kaku, Yuji",Librería Dorian,Physical,Myself,8.00,Sold,,
Alice in Wonderland (Illustrated),2022-08-12,"Carroll, Lewis",Amazon,Digital,Myself,0.00,Owned,,
Tatsuki Fujimoto Historias Cortas 17-21,2022-08-08,"Fujimoto, Tatsuki",fnac,Physical,Dad,7.60,Owned,,
Tatsuki Fujimoto Historias Cortas 22-26,2022-08-08,"Fujimoto, Tatsuki",fnac,Physical,Myself,5.20,Owned,,
Dan Da Dan 03,2022-07-29,"Tatsu, Yukinobu",fnac,Physical,Myself,2.70,Sold,2025-03-14,
My Hero Academia 29,2022-07-29,"Horikoshi, Kohei",fnac,Physical,Dad,7.95,Sold,,
My Hero Academia 30 + Posavasos,2022-07-29,"Horikoshi, Kohei",fnac,Physical,Dad,7.95,Sold,,
"Buenas Noches, Punpun 02",2022-07-24,"Asano, Inio",Mercadillo,Physical,Dad,2.00,Sold,,
El Niño del Pijama de Rayas,2022-07-24,"Boyne, John",Mercadillo,Physical,Dad,1.00,Owned,,
Berserk (Maximum) 03,2022-06-10,"Miura, Kentaro",fnac,Physical,Myself,6.10,Sold,,
Fire Punch 1,2022-06-10,"Fujimoto, Tatsuki",Wallapop,Physical,Wallet,7.22,Owned,,
Fire Punch 8 + Cofre,2022-06-10,"Fujimoto, Tatsuki",Wallapop,Physical,Wallet,7.22,Owned,,
Ulysses (English Edition),2022-06-05,"Joyce, James",Amazon,Digital,Myself,0.00,Owned,,
Dan Da Dan 01,2022-06-04,"Tatsu, Yukinobu",Librería Dorian,Physical,Myself,4.00,Sold,,
Dan Da Dan 02,2022-06-04,"Tatsu, Yukinobu",Librería Dorian,Physical,Myself,4.00,Sold,,
Dragon Ball Ultimate Edition 11,2022-06-04,"Toriyama, Akira",Librería Dorian,Physical,Myself,8.95,Sold,,
Dragon Ball Ultimate Edition 13,2022-06-04,"Toriyama, Akira",Librería Dorian,Physical,Myself,8.95,Sold,,
