Title,Date,Author,Location,Format,Paid,Cost,Ownership,Sold,Notes
Ulysses (English Edition),06-05-22,"Joyce, James",Amazon,Digital,Myself,0.00,Owned,,
Dan Da Dan 01,06-04-22,"Tatsu, Yukinobu",Librería Dorian,Physical,Myself,4.00,Sold,,
Dan Da Dan 02,06-04-22,"Tatsu, Yukinobu",Librería Dorian,Physical,Myself,4.00,Sold,,
Dragon Ball Ultimate Edition 11,06-04-22,"Toriyama, Akira",Librería Dorian,Physical,Myself,8.95,Sold,,
Dragon Ball Ultimate Edition 13,06-04-22,"Toriyama, Akira",Librería Dorian,Physical,Myself,8.95,Sold,,
Dragon Ball Ultimate Edition 10,05-28-22,"Toriyama, Akira",Librería Dorian,Physical,Myself,8.95,Sold,,
Chainsaw Man 09,05-26-22,"Fujimoto, Tatsuki",Librería Dorian,Physical,Myself,0.68,Owned,,
Chainsaw Man 10,05-26-22,"Fujimoto, Tatsuki",El Corte Inglés,Physical,Myself,8.55,Owned,,
El Color Púrpura,05-22-22,"Walker, Alice",Mercadillo,Physical,Dad,1.00,Owned,,
Matar a un Ruiseñor,05-22-22,"Lee, Harper",Mercadillo,Physical,Dad,1.00,Owned,,
Dragon Ball Ultimate Edition 09,05-21-22,"Toriyama, Akira",Librería Proteo,Physical,Dad,8.95,Sold,,
Puño de la Estrella del Norte 03,05-20-22,Buronson,fnac,Physical,Dad,12.30,Sold,,
The Legend of Zelda: Twilight Princess 09,05-20-22,"Himekawa, Akira",fnac,Physical,Myself,6.30,Owned,,
Dragon Ball Ultimate Edition 08,05-14-22,"Toriyama, Akira",Librería Dorian,Physical,Myself,8.95,Sold,,
Puño de la Estrella del Norte 01,05-04-22,Buronson,Wallapop,Physical,Mom,7.50,Sold,,
Puño de la Estrella del Norte 02,05-04-22,Buronson,Wallapop,Physical,Mom,7.50,Owned,,
Dragon Ball Ultimate Edition 12,04-30-22,"Toriyama, Akira",fnac,Physical,Myself,8.50,Sold,,
Puño de la Estrella del Norte (Promo),04-30-22,Buronson,fnac,Physical,Myself,2.80,Sold,,
Solanin,04-30-22,"Asano, Inio",Comic Stores,Physical,Dad,14.60,Owned,,
El Libro de los Portales,04-11-22,"Gallego, Laura",Wallapop,Physical,Myself,4.50,Owned,,
Chainsaw Man 06,04-09-22,"Fujimoto, Tatsuki",fnac,Physical,Dad,8.55,Owned,,
